Date,Open,High,Low,Close
11/20/2024,"243.85","243.85","243.85","243.85"
11/19/2024,"244.03","244.03","244.03","244.03"
11/18/2024,"243.25","243.25","243.25","243.25"
11/15/2024,"241.88","241.88","241.88","241.88"
11/14/2024,"244.36","244.36","244.36","244.36"
11/13/2024,"245.49","245.49","245.49","245.49"
11/12/2024,"246.16","246.16","246.16","246.16"
11/11/2024,"248.11","248.11","248.11","248.11"
11/08/2024,"247.82","247.82","247.82","247.82"
11/07/2024,"248.33","248.33","248.33","248.33"
11/06/2024,"245.97","245.97","245.97","245.97"
11/05/2024,"242.64","242.64","242.64","242.64"
11/04/2024,"239.70","239.70","239.70","239.70"
11/01/2024,"239.85","239.85","239.85","239.85"
10/31/2024,"238.96","238.96","238.96","238.96"
10/30/2024,"242.43","242.43","242.43","242.43"
10/29/2024,"243.43","243.43","243.43","243.43"
10/28/2024,"243.39","243.39","243.39","243.39"
10/25/2024,"242.30","242.30","242.30","242.30"
10/24/2024,"242.66","242.66","242.66","242.66"
10/23/2024,"242.14","242.14","242.14","242.14"
10/22/2024,"244.25","244.25","244.25","244.25"
10/21/2024,"244.89","244.89","244.89","244.89"
10/18/2024,"246.15","246.15","246.15","246.15"
10/17/2024,"244.89","244.89","244.89","244.89"
10/16/2024,"245.02","245.02","245.02","245.02"
10/15/2024,"243.77","243.77","243.77","243.77"
10/14/2024,"246.37","246.37","246.37","246.37"
10/11/2024,"245.12","245.12","245.12","245.12"
10/10/2024,"243.55","243.55","243.55","243.55"
10/09/2024,"243.90","243.90","243.90","243.90"
10/08/2024,"242.95","242.95","242.95","242.95"
10/07/2024,"242.28","242.28","242.28","242.28"
10/04/2024,"244.04","244.04","244.04","244.04"
10/03/2024,"241.94","241.94","241.94","241.94"
10/02/2024,"243.16","243.16","243.16","243.16"
10/01/2024,"242.88","242.88","242.88","242.88"
09/30/2024,"244.51","244.51","244.51","244.51"
09/27/2024,"244.18","244.18","244.18","244.18"
09/26/2024,"244.76","244.76","244.76","244.76"
09/25/2024,"241.92","241.92","241.92","241.92"
09/24/2024,"242.80","242.80","242.80","242.80"
09/23/2024,"241.42","241.42","241.42","241.42"
09/20/2024,"240.61","240.61","240.61","240.61"
09/19/2024,"242.48","242.48","242.48","242.48"
09/18/2024,"238.08","238.08","238.08","238.08"
09/17/2024,"238.75","238.75","238.75","238.75"
09/16/2024,"238.83","238.83","238.83","238.83"
09/13/2024,"238.02","238.02","238.02","238.02"
09/12/2024,"236.78","236.78","236.78","236.78"
09/11/2024,"234.81","234.81","234.81","234.81"
09/10/2024,"232.82","232.82","232.82","232.82"
09/09/2024,"232.57","232.57","232.57","232.57"
